tvdss,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,fm,well,DTS,GR_CORR,NEUT_CORR,RESD_CORR,RESS_CORR,TEMP,TENS
45.53855895196504,12.25,13.619000000000002,2.123,0.041,142.96,82.874,0.355,2.647,53.106,51.319,47.38,183.798,Tangahoe Fm,cheal-g2,,,,,,,
45.63593886462881,12.25,13.717,2.125,0.039,142.167,84.09100000000002,0.359,2.662,52.349,50.74800000000001,47.198,183.875,Tangahoe Fm,cheal-g2,,,,,,,
45.7333187772926,12.25,13.783,2.126,0.035,141.532,85.43,0.371,2.687,54.335,52.722,49.143,183.871,Tangahoe Fm,cheal-g2,,,,,,,
45.83069868995632,12.25,13.805,2.129,0.031,141.14600000000004,89.34700000000002,0.383,2.722,50.765,49.168,45.63399999999999,183.741,Tangahoe Fm,cheal-g2,,,,,,,
45.928078602620104,12.25,13.764,2.131,0.027000000000000003,141.07399999999996,92.658,0.394,2.741,46.342,44.762,41.28,183.776,Tangahoe Fm,cheal-g2,,,,,,,
46.02545851528382,12.25,13.684,2.134,0.025,141.262,95.656,0.402,2.742,48.224,46.399,42.405,183.579,Tangahoe Fm,cheal-g2,,,,,,,
46.1228384279476,12.25,13.592,2.136,0.024,141.635,96.501,0.405,2.739,47.574,45.599,41.304,183.466,Tangahoe Fm,cheal-g2,,,,,,,
46.22021834061136,12.25,13.486,2.139,0.025,142.08700000000005,97.017,0.401,2.741,47.67,45.48,40.753,183.477,Tangahoe Fm,cheal-g2,,,,,,,
46.31759825327509,12.25,13.337,2.145,0.027000000000000003,142.592,96.856,0.391,2.742,47.182,44.82899999999999,39.785,183.27,Tangahoe Fm,cheal-g2,,,,,,,
46.41497816593886,12.25,13.139,2.15,0.03,143.05100000000004,96.89,0.383,2.757,49.78,47.107,41.416,183.08900000000003,Tangahoe Fm,cheal-g2,,,,,,,
46.51235807860259,12.25,12.954,2.157,0.033,143.401,97.109,0.378,2.787,45.807,43.231,37.772,183.08,Tangahoe Fm,cheal-g2,,,,,,,
46.609693206720216,12.25,12.857,2.16,0.035,143.57,97.651,0.379,2.812,39.889,37.601,32.76,183.021,Tangahoe Fm,cheal-g2,,,,,,,
46.706625273922576,12.25,12.863,2.161,0.035,143.555,97.164,0.382,2.812,38.905,36.698,32.022,182.969,Tangahoe Fm,cheal-g2,,,,,,,
46.803557341124886,12.25,12.937,2.157,0.034,143.30200000000005,95.036,0.387,2.815,40.953,38.715,33.957,182.97,Tangahoe Fm,cheal-g2,,,,,,,
46.900489408327246,12.25,13.031,2.153,0.032,142.873,91.752,0.39,2.823,44.03100000000001,41.75899999999999,36.902,182.978,Tangahoe Fm,cheal-g2,,,,,,,
46.99742147552956,12.25,13.122,2.152,0.03,142.366,89.068,0.392,2.829,44.341,42.179,37.537,182.99,Tangahoe Fm,cheal-g2,,,,,,,
47.09435354273192,12.25,13.2,2.15,0.028,141.942,87.98299999999998,0.392,2.8160000000000003,44.953,42.85,38.316,183.114,Tangahoe Fm,cheal-g2,,,,,,,
47.19128560993428,12.25,13.243,2.146,0.026,141.754,89.052,0.397,2.804,46.861,44.719,40.093,183.16,Tangahoe Fm,cheal-g2,,,,,,,
47.28821767713657,12.25,13.252,2.142,0.025,141.847,92.473,0.406,2.797,46.839,44.70399999999999,40.092,183.188,Tangahoe Fm,cheal-g2,,,,,,,
47.38514974433894,12.25,13.239,2.14,0.027000000000000003,142.263,95.681,0.423,2.784,47.636,45.415,40.627,183.181,Tangahoe Fm,cheal-g2,,,,,,,
47.48208181154124,12.25,13.207,2.135,0.029,142.839,97.385,0.441,2.758,47.348,45.044,40.095,183.268,Tangahoe Fm,cheal-g2,,,,,,,
47.5790138787436,12.25,13.15,2.126,0.031,143.555,96.794,0.461,2.719,48.293,45.835,40.574,183.176,Tangahoe Fm,cheal-g2,,,,,,,
47.67594594594596,12.25,13.103,2.116,0.032,144.154,95.979,0.474,2.693,48.774,46.19,40.681,183.098,Tangahoe Fm,cheal-g2,,,,,,,
47.77287801314826,12.25,13.11,2.108,0.033,144.58100000000005,93.589,0.481,2.649,48.552,45.846,40.104,183.232,Tangahoe Fm,cheal-g2,,,,,,,
47.86981008035064,12.25,13.168,2.102,0.033,144.58700000000005,91.627,0.476,2.61,48.776,45.901,39.834,183.294,Tangahoe Fm,cheal-g2,,,,,,,
47.96674214755293,12.25,13.24,2.1,0.032,144.274,90.454,0.461,2.58,48.463,45.492,39.24800000000001,183.183,Tangahoe Fm,cheal-g2,,,,,,,
48.06367421475529,12.25,13.296,2.106,0.03,143.575,90.573,0.44,2.609,46.97,44.051,37.926,183.163,Tangahoe Fm,cheal-g2,,,,,,,
48.16060628195765,12.25,13.322,2.121,0.029,142.726,90.348,0.417,2.661,47.432,44.514,38.384,183.188,Tangahoe Fm,cheal-g2,,,,,,,
48.257538349159965,12.25,13.31,2.141,0.031,141.805,90.604,0.404,2.722,49.339,46.354,40.074,182.92,Tangahoe Fm,cheal-g2,,,,,,,
48.35447041636231,12.25,13.265999999999998,2.161,0.033,141.106,91.442,0.401,2.765,47.74100000000001,44.937,39.019,182.73,Tangahoe Fm,cheal-g2,,,,,,,
48.45140248356461,12.25,13.208,2.176,0.036000000000000004,140.665,91.57,0.404,2.787,46.029,43.377,37.769,182.67,Tangahoe Fm,cheal-g2,,,,,,,
48.548334550766974,12.25,13.149,2.182,0.038,140.499,90.243,0.402,2.79,45.003,42.40600000000001,36.916,182.687,Tangahoe Fm,cheal-g2,,,,,,,
48.645266617969334,12.25,13.07,2.18,0.039,140.477,87.38600000000002,0.395,2.769,42.732,40.214,34.902,182.659,Tangahoe Fm,cheal-g2,,,,,,,
48.74219868517165,12.25,12.970999999999998,2.173,0.037000000000000005,140.504,86.303,0.384,2.7510000000000003,42.76300000000001,40.209,34.826,182.796,Tangahoe Fm,cheal-g2,,,,,,,
48.839130752374004,12.25,12.880999999999998,2.165,0.035,141.064,85.959,0.3720000000000001,2.748,42.257,39.729,34.404,182.88,Tangahoe Fm,cheal-g2,,,,,,,
48.93606281957632,12.25,12.826,2.1590000000000003,0.031,142.079,88.165,0.3670000000000001,2.769,40.979,38.549,33.425,182.888,Tangahoe Fm,cheal-g2,,,,,,,
49.03299488677866,12.25,12.812,2.156,0.029,143.82399999999996,90.743,0.374,2.792,41.402,39.006,33.941,182.693,Tangahoe Fm,cheal-g2,,,,,,,
49.12992695398103,12.25,12.826,2.158,0.027000000000000003,145.75799999999995,94.844,0.39,2.81,42.545,40.156,35.09,182.754,Tangahoe Fm,cheal-g2,,,,,,,
49.22685902118333,12.25,12.873,2.1590000000000003,0.026,147.987,96.918,0.411,2.825,43.216,40.837,35.783,182.653,Tangahoe Fm,cheal-g2,,,,,,,
49.32379108838569,12.25,12.947,2.158,0.024,149.313,98.739,0.43,2.824,41.416,39.136,34.293,182.678,Tangahoe Fm,cheal-g2,,,,,,,
