tvdss,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,fm,well,DTS,GR_CORR,NEUT_CORR,RESD_CORR,RESS_CORR,TEMP,TENS
606.0030000000003,8.5,8.881,2.357,0.008,106.665,127.273,0.348,2.891,16.429000000000002,14.814,11.659,-116.679,Matemateaonga Fm,cheal-a10,,,,,,,
606.1550000000002,8.5,8.8,2.342,0.003,112.675,123.754,0.358,2.895,17.839000000000006,15.946,12.598,-116.808,Matemateaonga Fm,cheal-a10,,,,,,,
606.3080000000001,8.5,8.731,2.326,0.0,105.957,120.001,0.362,2.838,17.312,15.372,12.613,-116.422,Matemateaonga Fm,cheal-a10,,,,,,,
606.46,8.5,8.747,2.307,0.002,106.312,119.883,0.371,2.906,15.978,14.143,11.812,-115.8,Matemateaonga Fm,cheal-a10,,,,,,,
606.6120000000002,8.5,8.869,2.327,0.005,100.432,116.951,0.344,2.97,15.114,13.289,11.012,-115.397,Matemateaonga Fm,cheal-a10,,,,,,,
606.7650000000001,8.5,8.937999999999997,2.355,0.01,93.517,118.784,0.371,2.8510000000000004,16.833,14.764,11.970999999999998,-115.125,Matemateaonga Fm,cheal-a10,,,,,,,
606.9169999999998,8.5,8.766,2.344,0.011,94.819,114.167,0.376,2.858,17.726,15.668,12.758,-115.004,Matemateaonga Fm,cheal-a10,,,,,,,
607.07,8.5,8.731,2.342,0.011,96.579,112.525,0.391,2.885,18.712,16.602999999999998,13.365,-114.875,Matemateaonga Fm,cheal-a10,,,,,,,
607.2220000000002,8.5,8.812000000000003,2.335,0.006999999999999999,103.068,113.155,0.366,2.979,18.439,16.433,13.29,-114.317,Matemateaonga Fm,cheal-a10,,,,,,,
607.374,8.5,8.716000000000001,2.35,0.005,103.606,116.365,0.369,2.922,17.593,15.675,12.666,-113.675,Matemateaonga Fm,cheal-a10,,,,,,,
607.5269999999998,8.5,8.685,2.351,0.005,102.571,119.297,0.37,3.027,15.092,13.375,10.938,-112.825,Matemateaonga Fm,cheal-a10,,,,,,,
607.679,8.5,8.808,2.327,0.006,102.465,116.247,0.3720000000000001,2.919,12.683,11.265,9.62,-112.233,Matemateaonga Fm,cheal-a10,,,,,,,
607.8320000000001,8.5,8.937999999999997,2.346,0.009000000000000001,103.2,114.957,0.368,2.915,17.855999999999995,15.661,12.656,-111.983,Matemateaonga Fm,cheal-a10,,,,,,,
607.984,8.5,9.053,2.37,0.016,104.258,114.027,0.371,3.065,15.99,13.992,11.723,-111.575,Matemateaonga Fm,cheal-a10,,,,,,,
608.1360000000002,8.5,9.237,2.3680000000000003,0.023,106.075,116.226,0.379,2.987,13.294,11.725,10.054,-110.992,Matemateaonga Fm,cheal-a10,,,,,,,
608.289,8.5,9.272,2.331,0.027000000000000003,94.484,114.584,0.383,3.026,16.803,14.847,11.965,-110.254,Matemateaonga Fm,cheal-a10,,,,,,,
608.4410000000001,8.5,9.007,2.334,0.021,99.324,114.458,0.381,2.874,17.875,15.92,12.885,-109.379,Matemateaonga Fm,cheal-a10,,,,,,,
608.594,8.5,8.881,2.42,0.018000000000000002,102.054,109.092,0.379,3.016,21.037,18.737,14.134,-108.067,Matemateaonga Fm,cheal-a10,,,,,,,
608.7460000000002,8.5,8.605,2.39,0.026,99.962,112.259,0.391,3.255,18.0,16.004,11.674,-106.287,Matemateaonga Fm,cheal-a10,,,,,,,
608.8980000000001,8.5,8.632,2.37,0.039,107.315,112.845,0.376,3.181,18.374,16.206,11.496,-104.721,Matemateaonga Fm,cheal-a10,,,,,,,
609.0510000000003,8.5,8.823,2.369,0.037000000000000005,110.605,116.247,0.392,2.927,21.108,18.415,12.029000000000002,-103.098,Matemateaonga Fm,cheal-a10,,,,,,,
609.2030000000002,8.5,8.662,2.298,0.019,110.084,116.716,0.399,2.902,15.429,13.378,9.083,-101.458,Matemateaonga Fm,cheal-a10,,,,,,,
609.3560000000001,8.5,8.463,2.2880000000000003,0.001,113.227,117.89,0.397,2.8110000000000004,14.707,12.683,8.62,-100.471,Matemateaonga Fm,cheal-a10,,,,,,,
609.5080000000003,8.5,8.325,2.313,-0.003,112.748,119.883,0.376,2.852,14.05,12.201,8.329,-99.904,Matemateaonga Fm,cheal-a10,,,,,,,
609.6600000000002,8.5,8.363,2.329,-0.001,104.152,120.705,0.366,2.927,16.840999999999998,14.593,9.27,-99.579,Matemateaonga Fm,cheal-a10,,,,,,,
609.8130000000001,8.5,8.394,2.305,0.001,104.794,119.179,0.4,3.01,14.578,12.771,8.345,-99.471,Matemateaonga Fm,cheal-a10,,,,,,,
609.965,8.5,8.432,2.338,0.01,106.079,121.526,0.406,3.0460000000000003,14.698,12.972,8.594,-99.075,Matemateaonga Fm,cheal-a10,,,,,,,
610.1180000000003,8.5,8.447000000000001,2.36,0.017,106.389,123.754,0.38,3.059,13.838,12.323,8.285,-98.417,Matemateaonga Fm,cheal-a10,,,,,,,
610.2700000000002,8.5,8.501,2.3680000000000003,0.026,106.516,124.459,0.348,3.117,14.985,13.286,8.794,-97.971,Matemateaonga Fm,cheal-a10,,,,,,,
610.422,8.5,8.57,2.3280000000000003,0.024,106.691,121.174,0.366,3.0660000000000003,15.825,13.972,9.156,-97.543,Matemateaonga Fm,cheal-a10,,,,,,,
610.575,8.5,8.586,2.363,0.024,106.738,117.068,0.38,3.135,16.456,14.41,9.406,-96.795,Matemateaonga Fm,cheal-a10,,,,,,,
610.7270000000002,8.5,8.562999999999999,2.343,0.018000000000000002,105.526,122.699,0.394,2.914,15.664,13.651,9.224,-95.929,Matemateaonga Fm,cheal-a10,,,,,,,
610.8800000000001,8.5,8.386000000000001,2.333,0.013,105.262,122.068,0.401,2.842,19.575,16.734,10.714,-95.408,Matemateaonga Fm,cheal-a10,,,,,,,
611.0319999999998,8.5,8.34,2.324,0.006999999999999999,100.462,117.376,0.375,2.962,13.362,11.399,7.683,-94.787,Matemateaonga Fm,cheal-a10,,,,,,,
611.184,8.5,8.309,2.322,0.006999999999999999,99.381,114.326,0.35100000000000003,2.83,14.604,12.393,8.109,-94.408,Matemateaonga Fm,cheal-a10,,,,,,,
611.3370000000001,8.5,8.087,2.357,0.008,99.485,118.593,0.35,2.978,20.518,17.198,10.533,-94.488,Matemateaonga Fm,cheal-a10,,,,,,,
611.489,8.5,8.095,2.342,0.006,99.026,125.514,0.369,2.778,16.916,14.278,8.986,-94.125,Matemateaonga Fm,cheal-a10,,,,,,,
611.6419999999998,8.5,8.202,2.329,0.002,103.362,123.871,0.373,2.867,15.03,12.773,8.02,-93.762,Matemateaonga Fm,cheal-a10,,,,,,,
611.794,8.5,8.248,2.347,0.001,105.117,121.76,0.361,2.804,17.792,15.129,9.176,-92.833,Matemateaonga Fm,cheal-a10,,,,,,,
611.9460000000001,8.5,8.34,2.3280000000000003,0.001,107.36,116.313,0.36,2.875,22.537,18.964,10.945,-91.85,Matemateaonga Fm,cheal-a10,,,,,,,
612.099,8.5,8.378,2.252,0.0,107.983,112.208,0.379,2.682,15.263,12.961,8.343,-91.121,Matemateaonga Fm,cheal-a10,,,,,,,
612.2510000000002,8.5,8.424,2.275,-0.002,108.882,112.325,0.378,2.675,17.553,14.845,9.107,-91.643,Matemateaonga Fm,cheal-a10,,,,,,,
612.404,8.5,8.087,2.307,-0.002,109.341,116.247,0.364,2.982,15.755,13.486,9.108,-92.246,Matemateaonga Fm,cheal-a10,,,,,,,
612.5560000000003,8.5,7.811,2.309,0.001,107.325,124.928,0.365,3.053,14.437,12.412,8.436,-92.324,Matemateaonga Fm,cheal-a10,,,,,,,
612.7080000000002,8.5,7.75,2.353,0.005,106.941,123.975,0.392,3.023,14.964,12.880999999999998,8.597000000000001,-92.204,Matemateaonga Fm,cheal-a10,,,,,,,
612.8610000000001,8.5,8.072000000000001,2.363,0.006,105.578,123.271,0.38,2.8760000000000003,16.533,14.289,9.366,-92.033,Matemateaonga Fm,cheal-a10,,,,,,,
613.0130000000001,8.5,8.34,2.331,0.005,104.528,115.88,0.35600000000000004,2.918,19.113,16.527,10.703,-91.988,Matemateaonga Fm,cheal-a10,,,,,,,
613.1660000000003,8.5,8.47,2.32,0.001,104.618,115.778,0.34700000000000003,2.9610000000000003,17.719,15.392,9.896,-91.205,Matemateaonga Fm,cheal-a10,,,,,,,
613.3180000000001,8.5,8.478,2.296,0.002,104.809,117.185,0.37,3.06,13.582,11.894,8.082,-90.262,Matemateaonga Fm,cheal-a10,,,,,,,
613.47,8.5,8.447000000000001,2.33,0.005,104.522,118.359,0.394,2.9410000000000003,14.517,12.678,8.633,-89.704,Matemateaonga Fm,cheal-a10,,,,,,,
613.6230000000003,8.5,8.225,2.347,0.006,103.778,119.231,0.388,2.985,17.116,14.977,10.074,-89.042,Matemateaonga Fm,cheal-a10,,,,,,,
613.7750000000002,8.5,8.179,2.345,0.004,103.724,121.812,0.371,2.9130000000000003,17.505,15.275,10.031,-87.56299999999996,Matemateaonga Fm,cheal-a10,,,,,,,
613.9280000000001,8.5,8.24,2.335,0.001,103.232,123.454,0.369,2.866,17.139,14.872,9.563,-87.12899999999998,Matemateaonga Fm,cheal-a10,,,,,,,
614.08,8.5,8.302,2.344,0.0,103.618,127.86,0.387,2.968,18.149,15.76,9.616,-86.272,Matemateaonga Fm,cheal-a10,,,,,,,
