tvdss,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,fm,well,DTS,GR_CORR,NEUT_CORR,RESD_CORR,RESS_CORR,TEMP,TENS
-205.498,12.25,,,,,35.74,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-205.34599999999998,12.25,,,,,32.31,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-205.194,12.25,,,,,32.375,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-205.04100000000003,12.25,,,,,34.466,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-204.889,12.25,,,,,37.211,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-204.736,12.25,,,,,36.426,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-204.584,12.25,,,,,39.563,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-204.432,12.25,,,,,40.02,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-204.27900000000002,12.25,,,,,43.15600000000001,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-204.127,12.25,,,,,39.922,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-203.974,12.25,,,,,39.889,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-203.822,12.25,,,,,40.935,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-203.67,12.25,,,,,38.419,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-203.517,12.25,,,,,35.283,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-203.365,12.25,,,,,33.192,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-203.212,12.25,,,,,37.766,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-203.06,12.25,,,,,39.857,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-202.908,12.25,,,,,38.942,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-202.755,12.25,,,,,39.595,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-202.60299999999998,12.25,,,,,41.948,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-202.45,12.25,,,,,43.091,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-202.298,12.25,,,,,39.954,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-202.146,12.25,,,,,38.68,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-201.993,12.25,,,,,35.839,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-201.84099999999998,12.25,,,,,35.316,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-201.688,12.25,,,,,35.54400000000001,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-201.53599999999997,12.25,,,,,36.851,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-201.384,12.25,,,,,38.027,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-201.231,12.25,,,,,38.027,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
